127.0.0.1 - - [01/Mar/2026 00:18:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /css/variables.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /css/base.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /css/components.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /css/sidebar.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /css/responsive.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /img/aircraft/f35a.svg HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /img/aircraft/f15e.svg HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /img/aircraft/f22.svg HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /img/aircraft/f16c.svg HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /js/map.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /img/aircraft/b2.svg HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /js/theme.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /js/sidebar.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 00:18:57] "GET /img/aircraft/e3.svg HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 12:33:32] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 12:33:37] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 12:33:37] "GET /css/variables.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 12:33:37] "GET /css/base.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 12:33:37] "GET /css/components.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 12:33:37] "GET /css/sidebar.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 12:33:37] "GET /css/responsive.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 12:33:37] "GET /js/map.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 12:33:37] "GET /js/theme.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 12:33:37] "GET /js/sidebar.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:48] "GET /forces.html HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /forces.html HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /css/variables.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /css/base.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /css/components.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /css/sidebar.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /css/responsive.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /img/aircraft/f35a.svg HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /img/aircraft/f22.svg HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /img/aircraft/f16c.svg HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /img/aircraft/f15e.svg HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /img/aircraft/b2.svg HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /js/map.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /js/sidebar.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /js/theme.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Mar/2026 22:23:51] "GET /img/aircraft/e3.svg HTTP/1.1" 200 -
